county,poverty_incidence,distribution_of_poor,poverty_gap,severity_of_poverty,population,number_of_poor,adm1_pcode
National,38.6,100,9.8,3.7,49529,19122,NA
Rural,40.7,68.6,10.3,3.9,33686,13720,NA
Urban,34.1,31.4,9,3.4,15844,5402,NA
Mombasa,31.8,2.4,7.9,2.9,1265,402,KE001
Kwale,50.5,2.3,11.1,3.5,908,459,KE002
Kilifi,49.2,3.7,10.7,3.4,1515,746,KE003
Tana River,67.8,1.2,20.5,8,357,242,KE004
Lamu,35.1,0.3,8.9,3.1,151,53,KE005
Taita Taveta,33.9,0.7,8.4,2.9,406,138,KE006
Garissa,68.3,3,17.6,6.4,881,601,KE007
Wajir,66.3,2.7,26.6,13.8,821,545,KE008
Mandera,71.9,3.3,25.2,11.3,908,653,KE009
Marsabit,65.9,1.6,20.7,8.8,486,321,KE010
Isiolo,53.9,0.8,17.2,7.1,281,152,KE011
Meru,26.3,2.1,6.9,2.4,1565,411,KE012
Tharaka-Nithi,28.1,0.6,4.9,1.2,400,112,KE013
Embu,28.7,0.9,6.4,2.1,624,179,KE014
Kitui,55.2,3.2,17,7.1,1155,637,KE015
Machakos,35.6,2.6,7.1,2.3,1469,522,KE016
Makueni,39.7,2,8.3,2.6,1000,397,KE017
Nyandarua,32,1,6,1.7,648,207,KE018
Nyeri,26.4,1,4.9,1.3,770,203,KE019
Kirinyaga,19.3,0.6,3.4,0.9,615,119,KE020
Murang'a,26.7,1.4,6.3,2.2,1073,286,KE021
Kiambu,20.5,2.9,3.8,1.2,2528,519,KE022
Turkana,77.7,3.7,38.2,22.9,955,743,KE023
West Pokot,61.4,2,19.1,8,644,396,KE024
Samburu,66.2,1.1,25.9,13,327,217,KE025
Trans Nzoia,36.3,2,7.4,2.2,1115,405,KE026
Uasin Gishu,40.4,2.4,11.4,4.3,1198,484,KE027
Elgeyo-Marakwet,47.3,1.1,10.1,3.3,467,221,KE028
Nandi,35.7,1.6,11.6,4.9,910,325,KE029
Baringo,47.5,1.6,10,3.1,689,328,KE030
Laikipia,34.8,0.9,8.6,3,539,188,KE031
Nakuru,39.4,4.5,7.2,1.8,2266,893,KE032
Narok,21.9,1.4,3.5,0.9,1263,276,KE033
Kajiado,39.2,2.7,7.8,2.4,1199,470,KE034
Kericho,39.8,1.9,9.9,3.4,941,375,KE035
Bomet,45.4,2,10.1,3.3,882,400,KE036
Kakamega,39.6,3.8,12,5.4,1902,753,KE037
Vihiga,48.8,1.4,10.5,3.2,593,290,KE038
Bungoma,43.9,3.9,11,3.9,1766,775,KE039
Busia,58.3,2.9,13.2,4.1,997,581,KE040
Siaya,34.2,1.7,6.3,1.6,1021,350,KE041
Kisumu,36.3,2.2,9.1,3.1,1193,433,KE042
Homa Bay,26.6,1.5,5.2,1.4,1167,310,KE043
Migori,48,2.8,12.1,4.2,1162,557,KE044
Kisii,37.2,2.4,8.4,2.7,1285,477,KE045
Nyamira,34.7,1.1,8.4,3.2,611,212,KE046
Nairobi,16.5,7.4,3,0.8,4609,759,KE047
